permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/lendstreet,Lendstreet,,,-,closed,,,,,1,,2015-01-29,2015-01-29
/organization/lendvo-com,Lendvo.com,https://www.lendvo.com,,1325000,closed,,,,,1,2015-06-23,2015-06-23,2015-06-23
/organization/leosphere,Leosphere,http://www.leosphere.com,Manufacturing,28680536,closed,FRA,A8,Orsay,Orsay,2,2004-01-01,2007-04-20,2014-04-30
/organization/leotus,Leotus,http://leotushomecooling.com,Hardware + Software,-,closed,USA,RI,Providence,Providence,1,2009-01-01,2009-06-01,2009-06-01
/organization/lessno,Lessno,http://www.lessno.com,Travel,6100000,closed,,,,,2,,2007-07-23,2009-06-12
/organization/letmehearya,LetMeHearYa,http://www.LetMeHearYa.com,Consumers|Media|News|Sports,175000,closed,USA,CA,Los Angeles,Santa Monica,1,2011-01-01,2012-05-01,2012-05-01
/organization/letsdecco,Letsdecco,http://letsdecco.com,E-Commerce|Interior Design|Online Shopping,52110,closed,ESP,29,Madrid,Madrid,1,2012-11-25,2013-07-01,2013-07-01
/organization/letsgroop,LETSGROOP,http://www.letsgroop.com,Curated Web,100000,closed,BEL,11,Brussels,Brussels,1,2008-12-21,2009-01-15,2009-01-15
/organization/letterme,LetterMe,,,-,closed,USA,NY,New York City,New York,1,2015-01-01,2015-07-01,2015-07-01
/organization/letv-sports,Letv Sports,http://www.lesports.com/,,128000000,closed,,,,,1,,2015-05-13,2015-05-13
/organization/levanta,Levanta,http://www.levanta.com,Software,8000000,closed,USA,CA,SF Bay Area,San Mateo,1,1998-01-01,2007-09-23,2007-09-23
/organization/leverton-gmbh,Leverton GmbH,,Information Services|Intelligent Systems|Service Providers,5563137,closed,,,,,1,,2015-06-29,2015-06-29
/organization/lexara,Lexara,http://www.lexara.com,Software,1090000,closed,GBR,M4,London,Southampton,1,,2009-01-13,2009-01-13
/organization/lexy,Lexy,http://www.lexy.com,Audio|Games|Mobile|Music,1708000,closed,USA,CA,SF Bay Area,San Francisco,2,2006-01-01,2009-03-10,2009-12-24
/organization/leyio,LEYIO,http://www.leyio.com,Mobile,1892250,closed,FRA,97,FRA - Other,Gradignan,1,2008-01-01,2009-03-03,2009-03-03
/organization/lfh-brand-identity,LFH Brand Identity,https://www.lfh.co.uk,,494256.736719322,closed,,,,,1,,2007-01-24,2007-01-24
/organization/lg-test-co,LG Test Co.,,,-,closed,,,,,1,2000-01-10,2000-01-10,2000-01-10
/organization/lgdb-com,LgDb.com,http://www.lgdb.com,,-,closed,USA,CO,Denver,Denver,1,2006-01-01,2007-08-29,2007-08-29
/organization/lgo,LGO,,,-,closed,,,,,1,,2012-07-01,2012-07-01
/organization/libox,Libox,http://www.libox.com,Curated Web|File Sharing|Media|Peer-to-Peer|Photo Sharing|Synchronization|Video,2000000,closed,ISR,5,Tel Aviv,Tel Aviv,2,2008-04-15,2008-04-23,2010-02-01
/organization/libretto,Libretto,http://librettolabs.com/,Computers|Language Learning|Software,145000,closed,,,,,1,,2012-08-23,2012-08-23
/organization/licketyship,DeliveryEdge,http://www.licketyship.com,E-Commerce|Postal and Courier Services|Shipping,1500000,closed,USA,CA,SF Bay Area,San Francisco,2,2006-09-01,2005-06-13,2007-12-01
/organization/lifeassist-2,LifeAssist,,,50000,closed,,,,,1,,2014-12-11,2014-12-11
/organization/lifeharbor,LifeHarbor,http://www.lifeharbor.com/,Software,7800000,closed,USA,MA,Boston,Cambridge,2,,2003-02-19,2003-03-21
/organization/lifeio,lifeIO,http://www.lifeio.com,Curated Web,500000,closed,USA,NY,New York City,New York,1,2006-08-29,2008-08-29,2008-08-29
/organization/liferobotics,LifeRobotics,http://liferobotics.jp/,,2200000,closed,JPN,40,Tokyo,Tokyo,1,,2015-11-26,2015-11-26
/organization/lifeserve-innovations,LifeServe Innovations,http://lifeserveinnovations.com,,-,closed,USA,OH,Cleveland,Cleveland,1,2008-01-01,2012-01-01,2012-01-01
/organization/lifesmart,LifeSmart,http://www.ilifesmart.com,Consumer Electronics|Internet of Things|Services,9400000,closed,CHN,2,Hangzhou,Hangzhou,1,2011-01-01,2015-09-23,2015-09-23
/organization/lifestander,Lifestander,http://www.lifestander.com,Curated Web|Networking|Photography|Social Network Media|Software,31000,closed,USA,NY,New York City,New York,1,2010-09-01,2010-10-02,2010-10-02
/organization/lifestyle-fitness,Lifestyle Fitness,,Fitness|Health and Wellness|Services,8000000,closed,USA,FL,Tampa,St. Petersburg,1,,2004-08-05,2004-08-05
/organization/lifetable,Lifetable,http://lifetable.com/,,-,closed,CZE,52,Prague,Prague,1,,2012-07-03,2012-07-03
/organization/liftopia,Liftopia,http://www.liftopia.com,Cloud Computing|E-Commerce|SaaS|Sports|Travel|Twin-Tip Skis,7300000,closed,USA,CA,SF Bay Area,San Francisco,4,2005-01-01,2008-03-01,2013-09-27
/organization/lighter-living,Lighter Living,http://lighterliving.com,Health and Wellness,3100000,closed,USA,MA,Boston,Cambridge,1,,2009-11-20,2009-11-20
/organization/lighthouse-communications,Lighthouse Communications,http://www.lh.net/,Internet|Services|Wireless,5000000,closed,USA,IA,Des Moines,Des Moines,1,,2004-04-23,2004-04-23
/organization/lightning-gas,Lightning Gas,,,100000000,closed,,,,,1,,2002-11-15,2002-11-15
/organization/lightpole,LightPole,http://www.lightpole.net,Mobile,2100000,closed,,,,,2,,2007-06-01,2008-03-03
/organization/lightspeed-semiconductor,Lightspeed Semiconductor,,Design|Semiconductors|Technology,57500000,closed,USA,CA,SF Bay Area,Sunnyvale,2,,2000-06-16,2001-11-15
/organization/lignin-barrier-coating,Lignin Barrier Coating,,,185185,closed,,,,,1,,2014-04-01,2014-04-01
/organization/lignol,Lignol,http://lignol.ca,Clean Technology,12500000,closed,TUR,17,Ã‡an,Çan,1,2005-01-01,2013-08-14,2013-08-14
/organization/liibook,Liibook,http://www.liibook.com,Content|E-Commerce|Education|Social Media,70052,closed,USA,CA,SF Bay Area,Redwood City,1,2010-07-21,2012-01-01,2012-01-01
/organization/likebetter-com,LikeBetter.com,,Game|Personalization|Testing,-,closed,,,,,1,,2006-08-02,2006-08-02
